,hp_sr_no,cell_type,latentDim,hidden,numEncoders,numDecoders,loss,accuracy
0,1,LSTM,256,256,1,1,2.49974966,0.714704573
1,2,LSTM,256,256,1,3,2.759750128,0.671331286
2,3,LSTM,256,256,3,1,2.606636286,0.706308305
3,4,LSTM,256,256,3,3,2.508584261,0.674974084
4,5,LSTM,256,64,1,1,2.310675621,0.680038512
5,6,LSTM,256,64,1,3,2.207703352,0.696564496
6,7,LSTM,256,64,3,1,2.338297129,0.705893695
7,8,LSTM,256,64,3,3,2.395483017,0.669820845
8,9,LSTM,256,16,1,1,1.907725453,0.725336909
9,10,LSTM,256,16,1,3,2.40524745,0.667688429
10,11,LSTM,256,16,3,1,2.47598505,0.695365012
11,12,LSTM,256,16,3,3,2.674470901,0.663497686
12,13,LSTM,64,256,1,1,2.599864721,0.657974243
13,14,LSTM,64,256,1,3,2.835967779,0.601199448
14,15,LSTM,64,256,3,1,2.402173758,0.698711693
15,16,LSTM,64,256,3,3,2.405753613,0.678972304
16,17,LSTM,64,64,1,1,2.523143768,0.638382912
17,18,LSTM,64,64,1,3,2.44790864,0.640989184
18,19,LSTM,64,64,3,1,2.173887253,0.721220195
19,20,LSTM,64,64,3,3,2.649690866,0.671346068
20,21,LSTM,64,16,1,1,2.034489632,0.699970365
21,22,LSTM,64,16,1,3,2.759134531,0.599674225
22,23,LSTM,64,16,3,1,2.15951252,0.695942521
23,24,LSTM,64,16,3,3,2.271586895,0.613253355
24,25,LSTM,16,256,1,1,2.441029549,0.653354049
25,26,LSTM,16,256,1,3,2.194506168,0.646794021
26,27,LSTM,16,256,3,1,2.390213251,0.675981045
27,28,LSTM,16,256,3,3,2.698914289,0.610943258
28,29,LSTM,16,64,1,1,1.947442412,0.68360728
29,30,LSTM,16,64,1,3,2.676237345,0.502561808
30,31,LSTM,16,64,3,1,1.925527692,0.606604457
31,32,LSTM,16,64,3,3,2.297895908,0.495601952
32,33,LSTM,16,16,1,1,1.561580777,0.627839506
33,34,LSTM,16,16,1,3,2.243077278,0.50849992
34,35,LSTM,16,16,3,1,1.600243568,0.597852826
35,36,LSTM,16,16,3,3,1.827661395,0.57472235
36,37,RNN,256,256,1,1,2.885986805,0.609610558
37,38,RNN,256,256,1,3,2.945171595,0.592447817
38,39,RNN,256,256,3,1,2.86859417,0.600207329
39,40,RNN,256,256,3,3,3.096709728,0.604620159
40,41,RNN,256,64,1,1,2.864011049,0.588656902
41,42,RNN,256,64,1,3,2.951320648,0.59763068
42,43,RNN,256,64,3,1,2.891715765,0.616451919
